705,13.112564216,88.99.245.8,172.21.0.134,TCP,120,"[TCP Previous segment not captured] 443  >  52454 [PSH, ACK] Seq=82423 Ack=1 Win=501 Len=54 TSval=1403236166 TSecr=4004741035"
781,13.414459193,88.99.245.8,172.21.0.134,TCP,1434,[TCP Retransmission] 443  >  52454 [ACK] Seq=81055 Ack=1 Win=501 Len=1368 TSval=1403236166 TSecr=4004741035
782,13.414459674,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
783,13.414459778,88.99.245.8,172.21.0.134,TCP,120,"[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=83845 Ack=1 Win=501 Len=54 TSval=1403236517 TSecr=4004741035"
787,13.435820122,88.99.245.8,172.21.0.134,TCP,1434,443  >  52454 [ACK] Seq=83899 Ack=1 Win=501 Len=1368 TSval=1403236665 TSecr=4004741350 [TCP segment of a reassembled PDU]
789,13.437553919,88.99.245.8,172.21.0.134,TLSv1.2,120,Application Data
792,13.720112036,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
795,14.027012191,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
797,14.027372234,88.99.245.8,172.21.0.134,TCP,1434,443  >  52454 [ACK] Seq=88165 Ack=1 Win=501 Len=1368 TSval=1403237210 TSecr=4004741957 [TCP segment of a reassembled PDU]
799,14.027512967,88.99.245.8,172.21.0.134,TLSv1.2,120,Application Data
802,14.232783983,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
804,14.436615959,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
807,14.744465544,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
812,14.949853127,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
817,15.154226922,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
823,15.460623209,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
827,15.665959899,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
830,15.870378875,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
838,16.115267080,88.99.245.8,172.21.0.134,TCP,1434,443  >  52454 [ACK] Seq=100963 Ack=1 Win=501 Len=1368 TSval=1403239347 TSecr=4004744108 [TCP segment of a reassembled PDU]
840,16.115434029,88.99.245.8,172.21.0.134,TLSv1.2,120,Application Data
851,16.382521137,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
856,16.587528113,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
861,16.894576708,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
864,17.098955178,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
868,17.408009492,88.99.245.8,172.21.0.134,TCP,1434,443  >  52454 [ACK] Seq=108073 Ack=1 Win=501 Len=1368 TSval=1403240546 TSecr=4004745336 [TCP segment of a reassembled PDU]
870,17.409068433,88.99.245.8,172.21.0.134,TLSv1.2,120,Application Data
873,17.611529369,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
879,17.815731670,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
883,18.122870802,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
887,18.329063671,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
889,18.635594614,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
892,18.840624963,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
895,19.045029322,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
902,19.352024194,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
904,19.557534028,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
907,19.761937157,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
910,20.070360788,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
913,20.274492706,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
916,20.682943600,88.99.245.8,172.21.0.134,TLSv1.2,1488,"[TCP Previous segment not captured] , Application Data"
919,20.691628006,88.99.245.8,172.21.0.134,TCP,1434,443  >  52454 [ACK] Seq=129403 Ack=1 Win=501 Len=1368 TSval=1403243917 TSecr=4004748512 [TCP segment of a reassembled PDU]
921,20.691782459,88.99.245.8,172.21.0.134,TLSv1.2,120,Application Data
923,20.717116437,88.99.245.8,172.21.0.134,TCP,1434,[TCP Retransmission] 443  >  52454 [ACK] Seq=126559 Ack=1 Win=501 Len=1368 TSval=1403244009 TSecr=4004748929
925,20.718689434,88.99.245.8,172.21.0.134,TCP,120,"[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=127927 Ack=1 Win=501 Len=54 TSval=1403244009 TSecr=4004748929"
930,20.990159848,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
942,21.184202516,88.99.245.8,172.21.0.134,TCP,1434,443  >  52454 [ACK] Seq=132247 Ack=1 Win=501 Len=1368 TSval=1403244432 TSecr=4004749227 [TCP segment of a reassembled PDU]
944,21.184341712,88.99.245.8,172.21.0.134,TLSv1.2,120,Application Data
959,21.502294018,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
961,21.708036995,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
964,21.912537843,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
971,22.220389212,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
973,22.423787690,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
976,22.731185001,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
978,22.935797009,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
981,23.140618266,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
985,23.448207301,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
987,23.652781871,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
992,23.859876644,88.99.245.8,172.21.0.134,TCP,1434,443  >  52454 [ACK] Seq=147889 Ack=1 Win=501 Len=1368 TSval=1403247081 TSecr=4004751890 [TCP segment of a reassembled PDU]
994,23.860770889,88.99.245.8,172.21.0.134,TLSv1.2,120,Application Data
996,24.164619140,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
999,24.370139974,88.99.245.8,172.21.0.134,TLSv1.2,1488,Application Data
1002,24.574231892,88.99.245.8,172.21.0.134,TCP,120,"[TCP Previous segment not captured] 443  >  52454 [PSH, ACK] Seq=153523 Ack=1 Win=501 Len=54 TSval=1403247801 TSecr=4004752607 [TCP segment of a reassembled PDU]"
1003,24.574232403,88.99.245.8,172.21.0.134,TCP,1434,[TCP Out-Of-Order] 443  >  52454 [ACK] Seq=152155 Ack=1 Win=501 Len=1368 TSval=1403247801 TSecr=4004752607
1007,24.882103197,88.99.245.8,172.21.0.134,TCP,1488,"443  >  52454 [PSH, ACK] Seq=153577 Ack=1 Win=501 Len=1422 TSval=1403248037 TSecr=4004752811 [TCP segment of a reassembled PDU]"
