"No.","Time","Source","Destination","Protocol","Length","Info"
"10255","1039.578537262","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10257","1039.889440925","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10259","1040.297575262","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10260","1040.297575728","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=6342067 Ack=1 Win=501 Len=54 TSval=1404263357 TSecr=4005767816"
"10261","1040.297575828","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10265","1040.500154742","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10267","1040.805780474","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10269","1041.010689530","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10271","1041.216951339","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10273","1041.523476770","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10275","1041.728570630","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10277","1041.932878777","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10279","1042.347264319","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10281","1042.441212524","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6354919 Ack=1 Win=501 Len=1368 TSval=1404265655 TSecr=4005770170 [TCP segment of a reassembled PDU]"
"10283","1042.441686677","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"10285","1042.752472622","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10287","1042.957069737","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10289","1043.162498155","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10291","1043.469378445","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10293","1043.675434879","88.99.245.8","172.21.0.134","TLSv1.2","1488","[TCP Previous segment not captured] , Application Data"
"10295","1043.705874829","88.99.245.8","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  52454 [ACK] Seq=6362029 Ack=1 Win=501 Len=1368 TSval=1404266992 TSecr=4005771913"
"10297","1043.706362078","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=6363397 Ack=1 Win=501 Len=54 TSval=1404266992 TSecr=4005771913"
"10299","1043.843729618","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6364873 Ack=1 Win=501 Len=1368 TSval=1404267114 TSecr=4005771944 [TCP segment of a reassembled PDU]"
"10301","1043.853749485","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"10303","1044.082936136","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6366295 Ack=1 Win=501 Len=1368 TSval=1404267351 TSecr=4005772091 [TCP segment of a reassembled PDU]"
"10305","1044.088178395","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"10307","1044.391234909","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10309","1044.595580176","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6369139 Ack=1 Win=501 Len=1368 TSval=1404267842 TSecr=4005772628 [TCP segment of a reassembled PDU]"
"10311","1044.595981503","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"10313","1044.902056617","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10315","1045.107022659","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10317","1045.414255854","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10319","1045.618217645","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6374827 Ack=1 Win=501 Len=1368 TSval=1404268825 TSecr=4005773652 [TCP segment of a reassembled PDU]"
"10321","1045.619467604","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"10323","1045.823636281","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10325","1046.027970833","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10327","1046.336153040","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10329","1046.540493860","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10331","1046.848018712","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10333","1047.053579801","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10335","1047.361037716","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10337","1047.564378850","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10339","1047.770016750","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
