"No.","Time","Source","Destination","Protocol","Length","Info"
"5598","102.539887","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=589542 Ack=236742 Win=65536 Len=0"
"5599","102.555810","104.17.92.199","10.2.255.181","TLSv1.3","187","Application Data"
"5600","102.573538","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=589675 Ack=236824 Win=65536 Len=0"
"5601","102.595845","104.17.92.199","10.2.255.181","TLSv1.3","115","Application Data"
"5602","102.609311","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5603","102.615235","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5604","102.632240","104.17.92.199","10.2.255.181","TLSv1.3","147","Application Data"
"5605","102.656691","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=590182 Ack=237029 Win=65536 Len=0"
"5606","102.673612","104.17.92.199","10.2.255.181","TLSv1.3","109","Application Data"
"5607","102.706578","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=590237 Ack=237152 Win=65536 Len=0"
"5608","102.715764","104.17.92.199","10.2.255.181","TLSv1.3","128","Application Data"
"5609","102.740396","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=590311 Ack=237234 Win=65536 Len=0"
"5610","102.753781","104.17.92.199","10.2.255.181","TLSv1.3","132","Application Data"
"5611","102.773613","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=590389 Ack=237316 Win=65536 Len=0"
"5612","102.799825","104.17.92.199","10.2.255.181","TLSv1.3","147","Application Data"
"5613","102.815007","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5614","102.832510","104.17.92.199","10.2.255.181","TLSv1.3","128","Application Data"
"5615","102.855690","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=590845 Ack=237521 Win=65536 Len=0"
"5616","102.889146","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=590845 Ack=237603 Win=65536 Len=0"
"5617","102.922122","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=590845 Ack=237685 Win=65536 Len=0"
"5618","102.955006","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=590845 Ack=237767 Win=65536 Len=0"
"5619","102.967668","104.17.92.199","10.2.255.181","TLSv1.3","385","Application Data"
"5620","102.993074","104.17.92.199","10.2.255.181","TLSv1.3","153","Application Data"
"5621","103.005899","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=591275 Ack=237890 Win=65536 Len=0"
"5622","103.013849","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
